Genus,Subgenus,Species,Author ,Local_Label,Y_Latitude,X_Longitude,Refs,Observations
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Free State: Toowoomba ,-30.25,25.4,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Free State: Toowoomba: 3m. ,-30.24,25.41,DARC,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Gauteng: Johannesburg: Bedford Ridge. ,-26.21,28.05,AMNH,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Gauteng: Johannesburg: Bedford Ridge. ,-26.21,28.05,AMNH,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pietermaritzburg,-29.6,30.38,EMG,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pietermaritzburg,-29.6,30.38,EMG,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pietermaritzburg,-29.6,30.38,EMG,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pietermaritzburg,-29.6,30.38,EMG,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pietermaritzburg ,-29.6,30.38,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Barberton: Mpumalanga ,-25.77,31.04,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Cape of Good Hope ,-34.27,18.42,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Cape of Good Hope ,-34.27,18.42,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Delagoa: Limpopo ,-23.97,28.75,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Eastern Cape: Matatiele ,-30.36,28.8,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Johannesburg 6000ft ,-26.2,28.04,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: KwaZulu-Natal ,-29.3,30,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: KwaZulu-Natal: Weenen ,-28.84,30.07,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Little Falls ,-26.12,27.89,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Northern Cape: Hester Malan N.R.: E. Springbok ,-29.6,17.9,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pretoria ,-25.73,28.24,Distant 1892; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH AFRICA: Pretoria ,-25.73,28.24,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOUTH SUDAN: Latuka ,4.64,32.55,"Schouteden 1905, 1909; Roell et al. 2019",
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Arusha: Oldean Rd: 3800 ft ,-3.34,35.54,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Bububu ,-5.92,39.22,Jeannel 1913; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Kagera ,-1.91,31.25,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Kilimanjaro ,-3.07,37.35,"Schouteden 1905, 1910; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019",
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Musoma: Banagi Hill ,-2.3,34.83,Leston 1952; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Old Shinyanga: Boma ,-3.56,33.41,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Usambara ,-4.75,38.5,Schouteden 1905; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",TANZANIA: Morogoro,-7.91667,37.25,CeNak,
Afrius,Afrius,purpureus,"Westwood, 1837",TOGO: Atakpamé ,7.53,1.13,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Eastern Mbale Dist.: S of Mt Elgon ,1.08,34.18,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Entebe ,0.05,32.46,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Kadungulu: Eastern Province ,1.51,33.2,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Kampala ,0.34,32.58,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Kigezi Dist . Afr. Exp.: Mabungo Camp. 6000 ft: ,0.46,31.63,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Mabungo camp ,0.46,31.63,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",UGANDA:: Mbale: Kumi Rd: 3700 ft S. of L. Salisbury ,1.96,34.18,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",YEMEN: Wādī Risyān ,13.56,43.28,Linnavuori 1989; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Ambanja ,-13.66,48.45,Cachan 1952; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Amber Forest Reserve ,-12.45,49.19,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Ankarafantsika ,-15.72,46.45,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Diego-Suarez ,-12.32,49.3,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Fenoarivo Atsinanana ,-17.38,49.3,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Helodranon’ Antongila: Antanambe ,-16.44,49.84,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Ivondro: between Tamatave and Andevorante ,-18.23,49.36,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Maevatanana ,-13.88,48.53,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Morondava ,-20.29,44.29,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Mt. d’Ambre ,-12.58,49.15,Cachan 1952; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Nosy Mitsio ,-12.8994,48.6036,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Périnet: Analamazoatra ,-18.93,48.43,Cachan 1952; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Tulear: Zombitse Forest ,-22.78,44.67,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Vohemar ,-13.37,50,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MAURITIUS: Reduit ,-20.23,57.49,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MAURITIUS: Rose Hill ,-20.24,57.47,Mamet 1957; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",SEYCHELLES ISLANDS: Aldabra ,-9.4693,46.3207,Distant 1913; Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",SEYCHELLES ISLANDS: Aldabra ,-9.4693,46.3207,Roell et al. 2019,
Afrius,Subafrius,flavirostrum,"Signoret, 1861",MADAGASCAR: Alaotra Mangoro: Perinet,-18.93,48.41,Gapon & Konstantinov 2006,
Alcaeorrhynchus,,grandis,"Dallas, 1851",HONDURAN: Atlántida,15.73,-86.51,Arismendi & Thomas 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851",HONDURAN: Comayagua,14.46,-87.65,Arismendi & Thomas 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851",HONDURAN: Cortés,15.33,-87.91,Arismendi & Thomas 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Rémire-Montjoly,4.91,-52.26,Becker & Grazia 1977,
Alcaeorrhynchus,,grandis,"Dallas, 1851","USA: New Mexico, Otero",32.61,-105.74,Bundy 2012,
Alcaeorrhynchus,,grandis,"Dallas, 1851","USA: New Mexico, Roosevelt",34.02,-103.48,Bundy 2012,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Buenos Aires, Flores",-34.92,-58.56,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Buenos Aires, La Plata",-34.92,-57.95,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Corrientes, San Roque",-28.66,-68.76,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Entre Ríos, Concordia",-31.39,-58.02,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Misiones, Pindapoi",-27.47,-55.8,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA: Santa Fé, Piquete",-31.56,-60.71,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","ARGENTINA:  Santiago del Estero, Río Saladillo",-29.07,-63.39,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","BOLIVIA:  Santa Cruz, La Concepción",-17.75,-62.99,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","BRAZIL: Pará, Mato Grosso",-4,-53,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851",BRAZIL: Espírito Santo,-20,-40.75,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  Concepción, San Carlo",-23.39,-57.43,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  Central, Villa Elisa",-25.36,-57.59,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","URUGUAY: Cerro Largo, Fraile",-32.49,-54.52,Dellape et al 2003,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  Canindeyu, Mbaracayu",-24.19,-54.6,Faúndez et al 2018,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  Cordillera, Caacupe",-25.38,-57.14,Faúndez et al 2018,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  Alto Paraná, Puerto Bertoni",-25.66,-54.59,Faúndez et al 2018,
Alcaeorrhynchus,,grandis,"Dallas, 1851","PARAGUAY:  San Pedro, Cororo",-23.46,-56.51,Faúndez et al 2018,
Alcaeorrhynchus,,grandis,"Dallas, 1851",PARAGUAY:  San Pedro,-24.13,-56.66,Faúndez et al 2018,
Alcaeorrhynchus,,grandis,"Dallas, 1851","BRAZIL: São Paulo, Piracicaba",-22.72,-47.64,Gapon & Konstantinov 2006,
Alcaeorrhynchus,,grandis,"Dallas, 1851","BRAZIL: Rio Grande do Sul, Cruz Alta",-28.64,-53.6,Gapon & Konstantinov 2006,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Maripasoula,3.64,-54.03,Lupoli 2019,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Regina,4.31,-52.12,Lupoli 2019,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Remire- Montjoly,4.91,-52.26,Lupoli 2019,
