Genus	Species	Local_Label	decimalLongitude	decimalLatitude	Refs
Alcaeorrhynchus	Alcaeorrhynchus grandis	USA: Missouri, Mississippi Lowlands	-92.43000	34.90000	Sites et al 2012
Alcaeorrhynchus	Alcaeorrhynchus grandis	VENEZUELA:  Zulia, Colon	-71.92000	9.00000	Barão et al 2013
Alcaeorrhynchus	Alcaeorrhynchus grandis	VENEZUELA:  Aragua, Ramizito	-67.16000	10.00000	Barão et al 2013
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, Los Tuxtlas	-95.00000	18.47000	Brailovsky and Mayorga 1994
Alcaeorrhynchus	Alcaeorrhynchus grandis	ECUADOR: Galápagos	-90.87000	-0.67000	Causton et al 2006
Alcaeorrhynchus	Alcaeorrhynchus grandis	VENEZUELA:  Aragua, El Zamuro	-67.40000	10.35000	Díaz et al 2000
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Parana, Londrina	-51.16000	-23.31000	Grande & Rando 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, São Sepé	-53.60000	-30.15000	Magistralli et al 2014
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Pará, Tailândia	-48.75000	-2.87000	Ribeiro et al 2010
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Piauí, Teresina	-42.80000	-5.08000	Sousa et al 2016
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Minas Gerais, Caoté	-43.65000	-19.87000	Zanuncio et al 2009
Alcaeorrhynchus	Alcaeorrhynchus grandis	VENEZUELA:  Santa Rosa	-69.76000	9.89000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Santa Maria. 	-53.81000	-29.68000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Xangri-Lá, Atlântida. 	-50.04000	-29.80000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	PERU:  Cusco, Kunyal	-71.96000	-13.53000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Santa Catarina, São José do Cedro	-53.49000	-26.45000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Minas Gerais, Turmalina	-42.72000	-17.28000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Bahia, Itajibá	-39.84000	-14.28000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, São Borja. 	-56.00000	-28.65000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: São Paulo, Altinópolis, Chanflora.	-47.37000	-21.02000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Carazinho	-52.79000	-28.29000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Minas Gerais, Presidente Olegário	-46.42000	-18.41000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	ECUADOR: Galápagos, Floreana Island, Black Beach	-90.43000	-1.31000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Maranhão, São Luís	-44.28000	-2.53000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Torres	-49.72000	-29.33000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Imbé, Albatroz	-50.09000	-29.90000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Pelotas	-52.33000	-31.76000	UFRG
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio de Janeiro, Paraty, Praia do Sono	-44.62000	-23.33000	UFRJ
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Piauí, Piracuruca, Parque Nacional de Sete Cidades, Cachoeira do Riacho, 171m	-41.71000	-4.09000	UFRJ
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: São Paulo, São Sebastião	-45.40000	-23.80000	UFRJ
