genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Afrius,Afrius purpureus,IVORY COAST: Foro-Foro ,-5,7.94,Linnavuori 1982; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Grand-Bassam ,-3.75,5.22,Schouteden 1905; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Lamto ,-5.03,6.22,Schouteden 1963; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Kibwezi ,37.96,-2.41,Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Loitokitok ,37.51,-2.92,Schouteden 1910; Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Mombasa ,39.6238,-4.0245,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Mumias. 4500 ft ,34.4,0.33,Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Nairobi ,36.84,-1.3,Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Nakuru: Ilala: Maramas Dist.: 14 m E of Mumias ,36.11,-0.31,Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,KENYA: Taita Taveta ,38.44,-3.4,Roell et al. 2019,Kenya,Africa,Afrotropic,No
Afrius,Afrius purpureus,MALI: Dogo: Macina ,-5.73,13.99,Villiers 1954; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Mali,Africa,Afrotropic,No
Afrius,Afrius purpureus,MALI: Niono ,-5.95,15.19,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Mali,Africa,Afrotropic,No
Afrius,Afrius purpureus,MOZAMBIQUE: Quelimane ,36.88,-17.87,Gerstaecker 1892; Roell et al. 2019,Mozambique,Africa,Afrotropic,No
Afrius,Afrius purpureus,NAMIBIA: Damaraland ,17.5,-21,Hesse 1925; Roell et al. 2019,Namibia,Africa,Afrotropic,No
Afrius,Afrius purpureus,NAMIBIA: Oshikoto: Tsumeb ,17.71,-19.23,Hesse 1925; Roell et al. 2019,Namibia,Africa,Afrotropic,No
Afrius,Afrius purpureus,NAMIBIA: Otjozondjupa: Otjiwarongo ,16.64,-20.46,Hesse 1925; Roell et al. 2019,Namibia,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Azara ,9.5,8.45,Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Enugu ,7.5,6.73,Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Ibadan ,3.9,7.37,Linnavuori 1982; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Ile-Ife ,4.56,7.48,Linnavuori 1982; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Ilorin ,4.54,8.49,Golding 1931; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Kagoro forest ,8.47,9.58,Linnavuori 1982; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Kano ,8.61,12.32,Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Kaura: Namoda ,6.57,12.56,Linnavuori 1982; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Mokwa ,5.33,9.2,Linnavuori 1982; Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,NIGERIA: Zaria: Samaru ,7.63,11.16,Roell et al. 2019,Nigeria,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Bambey ,-16.47,14.78,Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Cambérène ,-17.42,14.77,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Dakar (Dakkar: VIII: Senegal 27: Baum),-17.45,14.68,NMPC,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Dakar: Gorée ,-17.3983,14.667,Villiers 1949; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Dakar: Sébikotane ,-17.13,14.74,Villiers 1949; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Dakar: Thiaroye ,-17.35,14.75,Villiers 1949; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Mboro ,-16.88,15.13,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Pout ,-17.06,14.77,Villiers 1949; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SENEGAL: Richard-Toll ,-15.69,16.46,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Senegal,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOMALIA: Afgooye ,45.12,2.13,Linnavuori 1976; Roell et al. 2019,Somalia,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOMALIA: Jowhar ,45.56,2.99,Mancini 1937; Roell et al. 2019,Somalia,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Barberton: Mpumalanga ,31.04,-25.77,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Cape of Good Hope ,18.42,-34.27,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Delagoa: Limpopo ,28.75,-23.97,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Eastern Cape: Matatiele ,28.8,-30.36,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Free State: Toowoomba ,25.4,-30.25,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Free State: Toowoomba: 3m. ,25.41,-30.24,DARC,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Gauteng: Johannesburg: Bedford Ridge. ,28.05,-26.21,AMNH,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Johannesburg 6000ft ,28.04,-26.2,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: KwaZulu-Natal ,30,-29.3,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: KwaZulu-Natal: Weenen ,30.07,-28.84,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Little Falls ,27.89,-26.12,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Northern Cape: Hester Malan N.R.: E. Springbok ,17.9,-29.6,Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH AFRICA: Pietermaritzburg,30.38,-29.6,EMG,South Africa,Africa,Afrotropic,No
